# Sensor Lundemosen, Greve Strand, Denmark (Citizen Science project sensor.community/78298)
# https://aqicn.org/station/@370306/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-07-05T00:00:00.000Z,1.3,6,3.3,2.08,3.9,1.037,529
2023-07-06T00:00:00.000Z,1.12,4.09,2.13,1.88,2.42,0.432,281
2023-07-07T00:00:00.000Z,1.4,4.7,2.52,2.2,2.9,0.594,548
2023-07-08T00:00:00.000Z,2.1,7.97,2.84,2.5,4.55,1.142,338
2023-07-09T00:00:00.000Z,1.52,5.6,3.2,2.65,4.03,0.849,355
2023-07-10T00:00:00.000Z,2.65,8.3,4.18,3.7,5.25,1.185,362
2023-07-11T00:00:00.000Z,1.9,14,2.95,2.63,5.35,2.947,565
2023-07-12T00:00:00.000Z,1.65,6.82,2.7,2.25,4.25,1.172,543
2023-07-13T00:00:00.000Z,1.12,4.05,2.4,1.85,3.05,0.681,571
2023-07-14T00:00:00.000Z,1.4,5.45,2.4,2,3.22,0.918,558
2023-07-15T00:00:00.000Z,1.92,5.3,3.7,2.9,4.3,0.814,567
2023-07-16T00:00:00.000Z,1.5,5.93,3.1,2.75,3.53,0.717,579
2023-07-17T00:00:00.000Z,1.5,6.32,2.6,2.2,3.3,0.742,385
2023-07-18T00:00:00.000Z,1.3,4.09,1.92,1.7,2.4,0.551,581
2023-07-19T00:00:00.000Z,1.2,42.05,1.9,1.7,2.1,1.961,470
2023-07-20T00:00:00.000Z,0.8,4.9,2.17,1.73,2.52,0.647,568
2023-07-21T00:00:00.000Z,1.38,6.1,2.25,1.92,3.13,0.981,582
2023-07-22T00:00:00.000Z,0.95,72.25,2.15,1.6,3.1,4.289,577
2023-07-23T00:00:00.000Z,1.65,7.95,3.78,3.17,4.53,1.289,581
2023-07-24T00:00:00.000Z,1.08,7.65,2.2,1.88,6.1,2.155,579
2023-07-25T00:00:00.000Z,1.2,5.47,2.22,1.9,2.75,0.737,581
2023-07-26T00:00:00.000Z,1.2,4.05,1.92,1.6,2.6,0.575,573
2023-07-27T00:00:00.000Z,1.9,34.22,2.9,2.45,4.09,2.213,567
2023-07-28T00:00:00.000Z,2.17,7.88,3.7,3.32,5.14,1.283,560
2023-07-29T00:00:00.000Z,2.13,7.28,4.09,3.5,4.78,0.883,548
2023-07-30T00:00:00.000Z,1.7,5.78,2.83,2.47,3.65,0.76,558
2023-07-31T00:00:00.000Z,1.5,4.82,2.38,2.08,2.78,0.498,578
2023-08-01T00:00:00.000Z,0.98,3.9,1.7,1.5,2.02,0.375,578
2023-08-02T00:00:00.000Z,1.33,16.14,2.35,2.08,3.4,1.584,574
2023-08-03T00:00:00.000Z,0.9,7.18,3.05,2.25,4.05,1.241,556
2023-08-04T00:00:00.000Z,1.63,6.78,2.6,2.35,3.5,0.983,575
2023-08-05T00:00:00.000Z,1.4,5.6,2.2,1.88,2.54,0.536,577
2023-08-06T00:00:00.000Z,1.8,6.78,2.7,2.4,3,0.476,579
2023-08-07T00:00:00.000Z,1.58,5.95,2.54,2.22,3.28,0.797,583
2023-08-08T00:00:00.000Z,1.42,4,2.21,1.95,2.52,0.444,586
2023-08-09T00:00:00.000Z,1.17,4.28,2.22,1.9,2.67,0.568,586
2023-08-10T00:00:00.000Z,1.3,8.15,2.2,2,2.5,0.516,570
2023-08-11T00:00:00.000Z,1.73,9.82,2.8,2.5,4.32,1.532,576
2023-08-12T00:00:00.000Z,1.67,22.67,4.34,2.41,8.5,4.938,584
2023-08-13T00:00:00.000Z,1.92,9.68,3.88,2.7,6.28,2.015,586
2023-08-14T00:00:00.000Z,1.92,12.75,3.7,2.72,5.25,1.986,586
2023-08-15T00:00:00.000Z,1.95,13.7,6.5,4.84,8.32,2.742,586
2023-08-16T00:00:00.000Z,1.14,9.02,2.04,1.6,2.79,0.943,585
2023-08-17T00:00:00.000Z,1.2,6.43,2.1,1.9,2.4,0.514,586
2023-08-18T00:00:00.000Z,1.9,15.9,2.7,2.47,3.08,1.048,584
